ChathamIsland
NZ_DOE
43.92°S     176.50°W
16-sept-83  11-Oct-1996
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Dec         N           53          53          53          53          53          53          0           0           53
Dec         Mean        3.635       0.127       1.069       2.257       7.341       0.501       -999        -999        0.078
Dec         StdDev      1.325       0.071       0.339       0.702       2.283       0.28        -999        -999        0.053
Ann         Mean        3.523       0.152       0.983       2.169       7.054       0.437       -999        -999        0.0755

MarshKingGeorgeIsland
DOE
62.18°S     58.30°W
27-Mar-1990 25-sept-96
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           10          10          10          10          10          10          7           3           10
Jan         Mean        3.968       0.022       1.038       2.341       3.043       0.448       0.115       1.198       0.16
Jan         StdDev      1.888       0.01        0.467       1.001       1.301       0.234       0.061       0.729       0.092
Feb         N           1           1           1           1           1           1           0           0           1
Feb         Mean        7.033       0.009       1.152       3.88        5.044       0.175       -999        -999        0.092
Feb         StdDev      -999        -999        -999        -999        -999        -999        -999        -999        -999
Mar         N           9           8           9           9           9           9           1           1           8
Mar         Mean        5.007       0.013       0.856       2.847       3.702       0.139       0.006       0.145       0.07
Mar         StdDev      2.919       0.009       0.48        1.613       2.097       0.13        -999        -999        0.04
Apr         N           22          21          22          22          22          22          9           9           22
Apr         Mean        5.63        0.013       1.061       3.155       4.102       0.267       0.02        1.342       0.063
Apr         StdDev      3.072       0.009       0.616       1.61        2.093       0.259       0.01        0.827       0.063
May         N           14          14          14          14          14          13          9           4           14
May         Mean        4.899       0.018       0.822       2.843       3.696       0.093       0.013       0.176       0.044
May         StdDev      5.619       0.013       0.881       3.209       4.172       0.185       0.007       0.149       0.046
Jun         N           20          20          20          20          20          20          13          5           20
Jun         Mean        4.263       0.02        0.856       2.41        3.133       0.249       0.006       0.327       0.063
Jun         StdDev      2.278       0.015       0.346       1.255       1.631       0.235       0.006       0.206       0.056
Jul         N           21          21          21          21          21          21          12          4           21
Jul         Mean        3.923       0.025       0.755       2.237       2.908       0.192       0.005       0.222       0.037
Jul         StdDev      2.214       0.016       0.508       1.227       1.594       0.356       0.005       0.194       0.034
Aug         N           19          19          19          19          19          19          8           4           19
Aug         Mean        2.992       0.017       0.67        1.803       2.344       0.216       0.005       0.384       0.041
Aug         StdDev      3.275       0.01        0.612       1.823       2.37        0.216       0.006       0.3         0.025
Sep         N           14          14          14          14          14          14          5           5           14
Sep         Mean        2.789       0.022       0.666       1.639       2.13        0.254       0.011       0.193       0.036
Sep         StdDev      1.634       0.013       0.435       0.88        1.144       0.255       0.007       0.112       0.022
Oct         N           16          16          16          16          16          16          8           4           16
Oct         Mean        6.185       0.021       1.296       3.591       4.668       0.392       0.015       0.456       0.076
Oct         StdDev      4.075       0.013       0.776       2.327       3.026       0.316       0.009       0.2         0.07
Nov         N           14          14          14          14          14          14          9           4           14
Nov         Mean        5.722       0.017       1.231       3.318       4.314       0.395       0.03        0.653       0.087
Nov         StdDev      3.146       0.014       0.593       1.72        2.236       0.25        0.016       0.35        0.06
Dec         N           14          14          14          14          14          14          5           5           13
Dec         Mean        4.187       0.02        1.022       2.413       3.136       0.415       0.059       0.651       0.106
Dec         StdDev      2.217       0.012       0.47        1.177       1.53        0.194       0.027       0.311       0.063
Ann         Mean        4.717       0.018       0.952       2.706       3.518       0.27        -999        -999        0.0729

MarionIsland
PrinceEdwardIslandDOE
46.92°S     37.75°E
25-Mar-1992 01-May-1996
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           17          17          17          17          17          17          10          0           17
Jan         Mean        5.001       0.026       0.904       2.918       9.489       0.169       0.094       -999        0.0714
Jan         StdDev      2.356       0.008       0.27        1.302       4.233       0.084       0.0175      -999        0.0225
Feb         N           16          16          16          16          16          16          8           0           16
Feb         Mean        4.622       0.027       0.878       2.713       8.823       0.195       0.1046      -999        0.0656
Feb         StdDev      2.865       0.008       0.376       1.654       5.378       0.166       0.0238      -999        0.0312
Mar         N           17          17          17          17          17          17          9           0           17
Mar         Mean        5.75        0.031       0.914       3.283       10.677      0.088       0.0713      -999        0.0486
Mar         StdDev      2.997       0.017       0.365       1.598       5.198       0.178       0.0246      -999        0.0222
Apr         N           20          20          20          20          20          20          12          0           20
Apr         Mean        4.58        0.026       0.704       2.63        8.553       0.042       0.0239      -999        0.0268
Apr         StdDev      2.043       0.009       0.235       1.116       3.629       0.105       0.0095      -999        0.0107
May         N           17          17          17          17          17          17          10          0           17
May         Mean        5.388       0.022       0.793       3.121       10.148      0.008       0.0094      -999        0.0143
May         StdDev      2.295       0.011       0.298       1.248       4.06        0.123       0.006       -999        0.0086
Jun         N           15          15          15          15          15          15          8           0           15
Jun         Mean        5.599       0.027       0.849       3.191       10.378      0.045       0.0053      -999        0.0131
Jun         StdDev      3.597       0.015       0.52        1.879       6.112       0.1         0.0038      -999        0.0114
Jul         N           19          19          19          19          19          19          8           0           19
Jul         Mean        6.154       0.033       0.924       3.571       11.613      0.025       0.0061      -999        0.0167
Jul         StdDev      2.338       0.017       0.295       1.347       4.381       0.127       0.0035      -999        0.0221
Aug         N           17          17          17          17          17          17          10          0           17
Aug         Mean        5.811       0.031       0.857       3.363       10.935      0.011       0.0061      -999        0.013
Aug         StdDev      2.987       0.02        0.42        1.692       5.504       0.104       0.0036      -999        0.0135
Sep         N           15          15          15          15          15          15          8           0           15
Sep         Mean        7.025       0.035       1.009       3.985       12.961      0.006       0.0104      -999        0.0128
Sep         StdDev      3.323       0.018       0.421       1.876       6.1         0.114       0.0038      -999        0.0071
Oct         N           19          19          19          19          19          18          10          0           19
Oct         Mean        6.573       0.036       0.991       3.689       11.995      0.07        0.0206      -999        0.0234
